name,cuisine_type,health_rating,prep_effort,mood_pairing,occasion_pairing,directions_url
Charcuterie,french,medium,medium,casual or sophisticated,"dinner with friends, date night, dinner party, or weeknight",https://www.momontimeout.com/best-ever-charcuterie-board/
Arancini,italian,low,high,sophisticated,date night or dinner party,https://www.bonappetit.com/recipe/mozzarella-arancini-stuffed-rice-balls
Flatbread,italian,medium,low,casual,"dinner with friends, date night, dinner party, or weeknight",https://www.thekitchn.com/appetizer-recipe-flatbreads-wi-82614
Shrimp Cocktail,american,high,low,casual or sophisticated,dinner with friends or dinner party,https://www.foodnetwork.com/recipes/food-network-kitchen/shrimp-cocktail-recipe2-1942120
Baked Brie,french,low,medium,sophisticated,dinner with friends or dinner party,https://www.recipetineats.com/baked-brie-with-maple-syrup-thyme/
Burrata,italian,medium,low,casual or sophisticated,"dinner with friends, date night, or dinner party",https://www.loveandlemons.com/burrata/
Crab Cakes,american,low,medium,sophisticated,"dinner with friends, date night, or dinner party",https://www.delish.com/cooking/recipe-ideas/recipes/a58704/best-crab-cakes-recipe/
Spanakopita,greek,low,high,sophisticated,"dinner with friends, date night, or dinner party",https://www.allrecipes.com/recipe/18417/spanakopita-greek-spinach-pie/
Samosa,indian,low,high,casual,"dinner with friends, date night, or dinner party",https://www.cookwithmanali.com/samosa-recipe/
Chips and Guacamole,mexican,medium,low,casual,"dinner with friends, date night, dinner party, or weeknight",https://www.loveandlemons.com/guacamole-recipe/
Pigs In A Blanket,american,low,medium,casual,dinner with friends or dinner party,https://www.delish.com/cooking/recipe-ideas/recipes/a58344/homemade-pigs-in-a-blanket-recipe/
Hummus,israeli,high,low,casual,"dinner with friends, date night, dinner party, or weeknight",https://www.themediterraneandish.com/how-to-make-hummus/
Crispy Brussels Sprouts,american,high,medium,casual or sophisticated,"dinner with friends, date night, or dinner party",https://cooking.nytimes.com/recipes/1890-roasted-brussels-sprouts-with-garlic
Buffalo Wings,american,medium,medium,casual,dinner with friends,https://www.recipetineats.com/truly-crispy-oven-baked-buffalo-wings-my-wings-cookbook/
Spinach And Artichoke Dip,american,low,low,casual,"dinner with friends, date night, or dinner party",https://www.cookingclassy.com/spinach-artichoke-dip/
Buffalo Chicken Dip,american,low,low,casual,dinner with friends,https://www.franksredhot.com/en-us/recipes/franks-redhot-buffalo-chicken-dip
Bruschetta,italian,high,low,casual or sophisticated,"dinner with friends, date night, dinner party, or weeknight",https://cooking.nytimes.com/recipes/1020272-tomato-bruschetta
Nachos,mexican,low,low,casual,dinner with friends,https://www.simplyrecipes.com/recipes/nachos/